,Pt3,Pt4,Force(100),Elasto(90),RopeAngle(100),Inclino(80)X,Inclino(80)Y,Inclino(81)X,Inclino(81)Y,Inclino(80)X_0_5,Inclino(80)Y_0_5,Inclino(81)X_0_5,Inclino(81)Y_0_5,Inclino(80)X_5_10,Inclino(80)Y_5_10,Inclino(81)X_5_10,Inclino(81)Y_5_10,Inclino(80)X_10_20,Inclino(80)Y_10_20,Inclino(81)X_10_20,Inclino(81)Y_10_20
BK08 M02,7.560371343488669,7.363904579799737,2.792201503764387,-47.6504341849146,17.8315803467122,-0.002577548464435574,-0.05055684001096236,0.050331002748341666,-0.008050233366542186,0.002763998430341639,0.0021834849941269933,0.00037996375449321837,0.0014614499177671686,0.0011614093718253968,-0.0007415527408718347,-0.0009438863961869581,-0.00015707779215514022,-0.00018737766867937337,-0.003584156781916869,0.00259228476316526,-0.0006101575672173874
BK08 M03,9.843971205415361,9.640028959915455,3.1209860459304837,-62.636493653113014,28.723549631573153,,,0.07667738205951494,-0.01105962524236748,-0.0009874806739661344,0.0031999592805684145,-0.0002710276725698047,-0.00025733067855706357,-0.00401596190215715,-0.0027448106031875757,0.0027624065636867798,-0.004880844860394116,0.0007784675636381019,0.0012175186571269866,0.0032326193808675558,-0.003473081660554582
BK08 M04,8.445111530714971,8.220515438320685,3.2199314446282608,-51.51499448475642,5.283784296666184,-0.006965064583461461,-0.062496258528791836,0.06468473954098689,-0.009303316616074498,-0.00497115780550884,-0.006118099796385562,-0.004034993301550275,-0.0052245448519119,-0.0014788446601685977,0.001607732522219502,-0.0004342841328716919,-0.0032297757381671986,-0.00221526824045813,0.0009099952505779605,-0.0028012489044617695,-0.003068382726325035
BK08 M05,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.002875565551951011,0.0046269017786313895,0.0001609734565577377,0.0009221169005701734,0.00019482763632927335,0.0015303733883597122,0.0023937987933440588,-0.00034229303182389446,8.835856534437893e-05,0.0016577049845841686,0.0036329526059708348,0.00015325849732462097
BK08 M06,8.59028525341621,8.408775218070714,3.062968229216452,-52.36017277174502,1.2384190071358523,-0.001954267932660207,-0.06311733097057884,0.05119189839544966,-0.014107029969966099,0.0010431056564816634,-0.0063533902797961814,-0.0033041893355730857,-0.00032250003316138713,0.003985804824805953,-0.0005298348784114093,-0.0060517981767168605,-0.0061987594222423946,0.0024139944066554884,-0.004754135109696551,-0.006059372427944659,-0.007134432868828008
BK09 M02,5.985325468062261,5.419677321249635,2.883952058699403,-38.10518328136004,6.319962504256862,0.04784020599142626,0.001340481795982973,,,0.002948014874099582,-0.0021579637820797783,,,0.0019217081578664504,-0.0011148878115121795,,,0.003973835813555636,-0.000978043180721139,,
BK09 M03,6.131085703410676,5.022035652644674,2.8649708458462384,-36.9686960273145,7.129027295454574,0.054137804285581785,-0.0014371038944548929,0.05145584109734788,-0.0020573360882316484,-0.0021687577851346638,0.0015281044734158315,-0.0015005587145986194,-4.559990753590883e-05,0.0026701527254687045,0.001794045612755254,0.0020892401039081404,0.00020580254944325562,0.002206102148062771,-0.0002028868205633699,0.0016140625502686194,-0.0025412145850364255
BK09 M04,6.173730272441129,5.768214228198174,2.560754511289486,-40.81514914096568,13.667229356993703,0.048780381244795355,-0.003179324491407943,0.05330068831910158,-0.0005790387387356239,-0.000352905876851441,0.0017307037291701287,2.8664350129589162e-05,0.0026160365620632423,0.0021093663122209844,0.00023824490528452324,0.0054024721583626175,0.004123934803535671,0.004972675946511246,1.532513956925064e-05,0.008197379245997212,0.0033499567436098008
BK10 M02,5.894812189915529,5.542920909334885,2.7300743438986155,-47.13989130111122,25.27080768040042,0.04189830313874473,0.0024740489814792954,0.03549491083709073,-0.0076837147488072145,0.0034642574316309104,-0.003934358708689626,0.0002904855021407521,-0.0009383652305083668,0.005860488790997484,-0.0026085820425263166,0.0016266696587267468,-0.0013910535512762345,0.0063666896145175966,-0.002934949996671296,0.000315031311110121,-0.002855379775726721
BK10 M03,5.826343655683256,5.574209344042713,2.873421705568157,-48.35262957249643,14.337004774193602,0.038845889515852494,0.00196165935093384,0.04107357726422218,-0.003166505076085938,-0.001766601932919977,-0.00044074704340487216,-0.0011765119223415535,0.002407097614314593,0.0012183548235644,-0.0006915067397687142,-0.0008677238517773607,0.0018432761774993063,0.000724250320552093,0.0008699998357100143,-0.0005520803128889591,0.0014061992347988348
