day,tree,measurement,variable,time,value
2021-03-22,BK01,M04,Pt3,77.782731192,-0.4893018317015958
2021-03-22,BK01,M04,Pt3,79.4730076240003,1.4263919416989663
2021-03-22,BK01,M04,Pt3,81.2432975439997,-0.3788324775014189
2021-03-22,BK01,M04,Pt3,82.8935676479996,1.2163762569980463
2021-03-22,BK01,M04,Pt3,84.5038311359995,-0.239437118099886
2021-03-22,BK01,M04,Pt3,86.3741372719996,1.0807082889950834
2021-03-22,BK01,M04,Pt3,88.0244073519998,-0.1452199952036608
2021-03-22,BK01,M04,Pt3,89.6546739759997,1.0930149193009129
2021-03-22,BK01,M04,Pt3,91.4149620799999,0.0270620778974262
2021-03-22,BK01,M04,Pt3,93.0852350799996,1.0170532889969763
2021-03-22,BK01,M04,Pt3,94.7255041119997,0.1534818547952454
2021-03-22,BK01,M04,Pt3,96.5658045119999,0.9186206423983094
2021-03-22,BK01,M04,Pt3 fixed by Pt11,47.1977246799997,-4.941269184004341
2021-03-22,BK01,M04,Pt3 fixed by Pt11,48.7579799759997,3.945047584296845
2021-03-22,BK01,M04,Pt3 fixed by Pt11,50.4482570559994,-4.501465483299398
2021-03-22,BK01,M04,Pt3 fixed by Pt11,52.258552624,3.881081669394917
2021-03-22,BK01,M04,Pt3 fixed by Pt11,53.9988381359999,-3.8071483626044937
2021-03-22,BK01,M04,Pt3 fixed by Pt11,55.6591093839997,3.2309527581965085
2021-03-22,BK01,M04,Pt3 fixed by Pt11,57.389392432,-3.2706913314032136
2021-03-22,BK01,M04,Pt3 fixed by Pt11,59.0196596240003,2.839257362698845
2021-03-22,BK01,M04,Pt3 fixed by Pt11,45.4174335999996,6.145054272295965
2021-03-22,BK01,M04,Pt3 fixed by Pt11,60.7599449520003,-2.889858642600302
2021-03-22,BK01,M04,Pt3 fixed by Pt11,62.4402196000001,2.444268744395231
2021-03-22,BK01,M04,Pt3 fixed by Pt11,64.0904896479997,-2.363681521404942
2021-03-22,BK01,M04,Pt3 fixed by Pt11,65.9107871599999,2.1152075050995336
2021-03-22,BK01,M04,Pt3 fixed by Pt11,67.4910466800002,-1.980847735707357
2021-03-22,BK01,M04,Pt3 fixed by Pt11,69.3013421360001,1.9689893414906687
2021-03-22,BK01,M04,Pt3 fixed by Pt11,70.9916189759997,-1.558890621206956
2021-03-22,BK01,M04,Pt3 fixed by Pt11,72.701898624,1.7567472830996849
2021-03-22,BK01,M04,Pt3 fixed by Pt11,74.4321826240002,-1.0431395509076538
2021-03-22,BK01,M04,Pt3 fixed by Pt11,76.2624820000001,1.5005957743924228
2021-03-22,BK01,M04,Pt3 fixed by Pt11,77.762727112,-0.7658098996034823
2021-03-22,BK01,M04,Pt3 fixed by Pt11,79.6030281599997,1.208110718893295
2021-03-22,BK01,M04,Pt3 fixed by Pt11,81.223293864,-0.7467009183092159
2021-03-22,BK01,M04,Pt3 fixed by Pt11,83.0535930320002,1.082711350893078
2021-03-22,BK01,M04,Pt3 fixed by Pt11,84.5638406799999,-0.5885555234053754
2021-03-22,BK01,M04,Pt3 fixed by Pt11,86.294124,0.8865440216977731
2021-03-22,BK01,M04,Pt3 fixed by Pt11,87.964397488,-0.4390769995006849
2021-03-22,BK01,M04,Pt3 fixed by Pt11,89.6846782960001,0.8250877763930475
2021-03-22,BK01,M04,Pt3 fixed by Pt11,93.1752499759996,0.7344903525954578
2021-03-22,BK01,M04,Pt3 fixed by Pt11,94.7255041119997,-0.2440273874090053
2021-03-22,BK01,M04,Pt3 fixed by Pt11,96.5458014639999,0.6527009188939701
2021-03-22,BK01,M04,Pt3 fixed by Pt11,91.3449505999997,-0.3298013496023486
2021-03-22,BK04,M02,Pt3,66.9109518879995,-1.3220488926017424
2021-03-22,BK04,M02,Pt3,69.1513187520004,4.337248859199463
2021-03-22,BK04,M02,Pt3,71.2116553759997,-0.980894365500717
2021-03-22,BK04,M02,Pt3,73.291996512,3.720236103297793
2021-03-22,BK04,M02,Pt3,75.2423155119995,-0.919796440495702
2021-03-22,BK04,M02,Pt3,77.5126870240001,3.5634365576988785
2021-03-22,BK04,M02,Pt3,79.6330338879998,-0.3955766080980538
2021-03-22,BK04,M02,Pt3,81.6833700240004,3.534517443404184
2021-03-22,BK04,M02,Pt3,83.683697296,-0.0585175691012409
2021-03-22,BK04,M02,Pt3,85.6740224559999,3.64422835100413
2021-03-22,BK04,M02,Pt3,87.7443613759997,0.3217899833980482
2021-03-22,BK04,M02,Pt3,89.904714968,3.4829536760007613
2021-03-22,BK04,M02,Pt3,91.9150441840002,0.7412658241009922
2021-03-22,BK04,M02,Pt3,94.1454089999997,3.325745045200165
2021-03-22,BK04,M02,Pt3,96.3257657519998,1.012851174004027
2021-03-22,BK04,M02,Pt3,98.0860545360001,3.164996473802603
2021-03-22,BK04,M02,Pt3,100.426437456,1.1591012282005977
2021-03-22,BK09,M03,Pt3,42.3869369439999,1.9272768426963007
2021-03-22,BK09,M03,Pt3,44.3072515120002,-1.664581359604199
2021-03-22,BK09,M03,Pt3,46.8476669680003,1.2251360984009807
2021-03-22,BK09,M03,Pt3,48.9980194,-1.3675544090001495
