type,day,tree,measurement,probe
normal,2022-08-16,BK11,M03,a04_z
normal,2022-08-16,BK11,M04,a04_z
normal,2022-08-16,BK12,M02,a04_z
normal,2022-08-16,BK12,M03,a04_z
normal,2022-08-16,BK12,M04,a04_z
normal,2022-08-16,BK13,M02,Pt3
normal,2022-08-16,BK13,M02,Pt4
normal,2022-08-16,BK13,M02,a02_z
normal,2022-08-16,BK13,M02,a04_z
normal,2022-08-16,BK13,M03,a02_z
normal,2022-08-16,BK13,M03,a04_z
normal,2022-08-16,BK13,M04,a04_z
normal,2022-08-16,BK14,M02,a04_z
normal,2022-08-16,BK14,M03,a04_z
normal,2022-08-16,BK14,M04,a02_z
normal,2022-08-16,BK14,M04,a04_z
normal,2022-08-16,BK14,M04,blueMaj
normal,2022-08-16,BK16,M02,a03_z
normal,2022-08-16,BK16,M02,a03_z
normal,2022-08-16,BK16,M02,a04_z
normal,2022-08-16,BK16,M03,a03_z
normal,2022-08-16,BK16,M03,a04_z
normal,2022-08-16,BK16,M04,a04_z
normal,2022-08-16,BK21,M02,a04_z
normal,2022-08-16,BK21,M03,a04_z
normal,2022-08-16,BK21,M04,a04_z
normal,2022-08-16,BK24,M02,a04_z
normal,2022-08-16,BK24,M03,a04_z
normal,2022-08-16,BK24,M04,a04_z
normal,2022-08-16,JD18,M02,a04_z
normal,2022-08-16,JD18,M03,a04_z
normal,2022-08-16,JD18,M04,a04_z
normal,2023-07-17,BK01,M03,a04_z
normal,2023-07-17,BK07,M02,a01_z
normal,2023-07-17,BK07,M03,a01_z
normal,2023-07-17,BK07,M04,a01_z
normal,2023-07-17,BK07,M04,a04_z
normal,2023-07-17,BK07,M05,a01_z
normal,2023-07-17,BK08,M03,a01_z
normal,2023-07-17,BK09,M02,Elasto(90)
normal,2023-07-17,BK09,M02,a01_z
normal,2023-07-17,BK09,M02,a02_z
normal,2023-07-17,BK09,M02,a03_z
normal,2023-07-17,BK09,M02,blueMaj
normal,2023-07-17,BK09,M02,yellowMaj
normal,2023-07-17,BK09,M04,Elasto(90)
normal,2023-07-17,BK09,M04,blueMaj
normal,2023-07-17,BK09,M04,yellowMaj
normal,2023-07-17,BK10,M02,a02_z
normal,2023-07-17,BK10,M02,blueMaj
normal,2023-07-17,BK10,M03,a02_z
normal,2023-07-17,BK12,M04,blueMaj
normal,2023-07-17,BK14,M04,a02_z
normal,2023-07-17,BK16,M02,a03_z
normal,2023-07-17,BK16,M02,yellowMaj
normal,2023-07-17,BK16,M04,Elasto(90)
normal,2023-07-17,BK21,M02,a01_z
normal,2023-07-17,BK21,M03,a01_z
normal,2023-07-17,BK21,M04,a01_z
normal,2023-07-17,BK24,M02,a01_z
normal,2023-07-17,BK24,M03,a01_z
normal,2023-07-17,JD18,M02,a01_z
normal,2023-07-17,JD18,M03,a01_z
normal,2023-07-17,JD18,M04,a01_z
normal,2024-04-10,BK09,M02,a01_z
normal,2024-04-10,BK10,M02,a02_z
normal,2024-04-10,BK11,M02,a01_z
normal,2024-04-10,BK11,M03,a01_z
normal,2024-04-10,BK11,M03,a04_z
normal,2024-04-10,BK12,M03,a03_z
normal,2024-04-10,BK12,M04,a03_z
normal,2024-04-10,BK16,M03,a04_z
normal,2024-04-10,BK16,M04,a04_z
normal,2024-04-10,BK16,M05,a04_z
normal,2024-04-10,BK24,M03,a04_z
normal,2024-04-10,JD18,M02,a01_z
normal,2024-04-10,JD18,M02,a02_z
normal,2024-04-10,JD18,M02,a03_z
normal,2024-04-10,JD18,M02,a04_z
normal,2024-09-02,BK07,M02,a03_z
normal,2024-09-02,BK07,M03,a03_z
normal,2024-09-02,BK07,M04,a03_z
normal,2024-09-02,BK07,M04,a04_z
normal,2024-09-02,BK08,M02,a03_z
normal,2024-09-02,BK08,M02,blueMaj
normal,2024-09-02,BK08,M02,yellowMaj
normal,2024-09-02,BK08,M03,Elasto(90)
normal,2024-09-02,BK08,M03,a02_z
normal,2024-09-02,BK08,M03,a03_z
normal,2024-09-02,BK08,M03,a04_z
normal,2024-09-02,BK08,M03,blueMaj
normal,2024-09-02,BK08,M03,yellowMaj
normal,2024-09-02,BK08,M04,a03_z
normal,2024-09-02,BK10,M02,Elasto(90)
normal,2024-09-02,BK10,M02,a01_z
normal,2024-09-02,BK10,M02,a02_z
normal,2024-09-02,BK10,M02,blueMaj
normal,2024-09-02,BK10,M02,yellowMaj
normal,2024-09-02,BK14,M02,a02_z
normal,2024-09-02,BK14,M02,a04_z
normal,2024-09-02,BK14,M03,a02_z
normal,2024-09-02,BK14,M03,a04_z
normal,2024-09-02,BK16,M04,a04_z
normal,2024-09-02,JD18,M03,a03_z
normal,2024-09-02,BK01,M02,yellowMaj
normal,2021-03-22,JD18,M04,a03_z
normal,2024-09-02,BK08,M03,a01_z
afterro,2023-07-17,BK21,M03,Pt3
afterro,2023-07-17,BK21,M03,Pt4
