type,date,tree,probe,scale_factor
normal,2024-04-10,JD18,Inclino(80),-1
normal,2024-09-02,BK01,Inclino(80),-1
normal,2024-09-02,BK07,Inclino(81),-1
normal,2024-09-02,BK08,Inclino(80),-1
normal,2024-09-02,BK08,Inclino(81),-1
normal,2024-09-02,BK09,Inclino(80),-1
normal,2024-09-02,BK10,Inclino(81),-1
normal,2024-09-02,BK12,Inclino(80),-1
normal,2024-09-02,BK12,Inclino(81),-1
normal,2024-09-02,BK21,Inclino(80),-1
normal,2024-09-02,BK24,Inclino(80),-1
normal,2024-09-02,JD18,Inclino(80),-1
normal,2024-09-02,JD18,Inclino(81),-1
mokro,2024-09-02,BK07,Inclino(80),-1
mokro,2024-09-02,BK07,Inclino(81),-1
mokro,2024-09-02,BK08,Inclino(80),-1
mokro,2024-09-02,BK08,Inclino(81),-1
mokro,2024-09-02,BK09,Inclino(80),-1
mokro,2024-09-02,BK09,Inclino(81),-1
mokro,2024-09-02,BK10,Inclino(80),-1
mokro,2024-09-02,BK10,Inclino(81),-1
mokro,2024-09-02,BK11,Inclino(80),-1
mokro,2024-09-02,BK11,Inclino(81),-1
